name,Age,Team & Contract,ID,Best position,Value(Euros),Wage(K),Release clause(euros in millions),Height,Weight,foot,Best overall,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace
P. Glatzel ST RW CAM,22,"Swindon Town
2024 ~ 2025",247507,ST,500000,2000,913000,"174cm / 5'9""",67kg / 148lbs,Left,63,287,56,61,56,58,56,268,58,54,45,51,60,353,69,65,79,59,81,297,70,62,51,55,59,230,42,20,59,54,55,57,83,26,33,24,50,12,8,12,6,12,1568,328,1,67,62,55,62,30
J. Nisbet CM CAM,24,"Central Coast Mariners
2019 ~ 2024",247822,CM,1.8,2000,2.4,"158cm / 5'2""",58kg / 128lbs,Right,70,274,54,54,48,73,45,314,65,61,52,67,69,391,71,74,83,71,92,302,54,61,88,45,54,327,85,64,61,65,52,56,169,53,57,59,54,7,11,14,9,13,1831,383,1,73,54,65,69,57
A. Čerin CM,23,"Panathinaikos
2022 ~ 2026",247861,CAM,2.7,500,5.9,"180cm / 5'11""",77kg / 170lbs,Right,73,307,67,59,51,74,56,333,71,60,56,70,76,356,73,71,74,72,66,329,62,64,79,59,65,321,65,63,72,69,52,69,162,55,53,54,60,10,14,10,13,13,1868,396,1,72,61,69,73,56
Ș. Târnovanu GK,23,"FCSB
2020 ~ 2028",248073,GK,3.1,6000,4.8,"197cm / 6'6""",87kg / 192lbs,Right,70,73,13,15,12,16,17,86,18,11,12,29,16,280,56,53,57,66,48,213,49,62,29,55,18,124,16,21,19,55,13,32,39,18,11,10,344,68,65,65,73,73,1159,399,1,68,65,65,73,55
L. Johnsen CDM CM,23,"Malmö FF
2023 ~ 2027",248166,CDM,3.4,5000,5.1,"179cm / 5'10""",75kg / 165lbs,Right,73,282,55,49,55,68,55,318,65,61,50,73,69,356,69,65,77,71,74,363,66,71,91,75,60,324,81,68,59,66,50,71,204,70,68,66,53,8,8,13,11,13,1900,402,1,67,55,65,68,67
I. Gruev CDM CM,23,"Leeds United
2023 ~ 2027",248384,CDM,5.5,27000,11.6,"185cm / 6'1""",77kg / 170lbs,Left,74,280,61,44,55,77,43,313,70,41,55+13,73,74,336,62,72,63,73,66,308,57,65,73,65,48,308,65,71,59,70,43,74,217,71,72,74,47,9,13,9,5,11,1809,393,1,68,48,69,71,70
P. Ekwah CM,21,"Sunderland
2023 ~ 2027",248473,CM,2.3,9000,4.8,"189cm / 6'2""",78kg / 172lbs,Left,69,296,54,61,53,69,59,315,69,56,54,68,68,293,61,65,46,64,57,354,74,67,71,75,67,309,66,63,64,65,51,64,189,63,65,61,63,14,14,15,12,8,1819,390,1,63,64,64,65,62
T. Anjorin CAM,21,"Portsmouth
2018 ~ 2025",248474,CAM,1.9,3000,3.7,"185cm / 6'1""",73kg / 161lbs,Right,68,288,58,65,52,66,47,329,71,64,62,64,68,354,72,77,73,58,74,335,70,71,55,73,66,293,61,43,59,66,64,67,152,44,56,52,56,11,14,15,7,9,1807,389,1,75,65,64,70,49
Oh Hyeon Gyu ST,22,"Celtic
2023 ~ 2028",248712,ST,2.9,22000,5.8,"185cm / 6'1""",83kg / 183lbs,Right,71,311,48,69,72,60,62,267,62,53,41,45,66-1,363,72-1,80,71,66-2,74,370,75,79-1,71,83,62,297,80,29,69-2,55,64,55,128,38,47,43,47,10,6,10,10,11,1783,384,1,76,68,53,65,43
G. Isaksen RW ST LW,22,"Lazio
2023 ~ 2028",248729,LM,9.5,35000,18.1,"178cm / 5'10""",65kg / 143lbs,Left,76,318,59,73,55,70,61,327,77,70,44,61,75,416,86,92,85,73,80,315,71,60,81,35,68,281,52,35,74,67,53,69,111,42,40,29,40,7,5,15,7,6,1808,392,1,89,70,65,77,40
K. Hein GK,21,"Arsenal
2019 ~ 2026",248732,GK,1.1,9000,2.3,"193cm / 6'4""",76kg / 168lbs,Right,64,66,10,8,17,25,6,68,10,13,12,21,12,200,33,38,36,62,31,201,42,55,40,57,7,86,18,12,6,32,18,26,40,9,16,15,310,61,63,56,64,66,971,345,1,61,63,56,66,35
J. Mellish CB CM,25,"Carlisle United
2019 ~ 2026",248774,CDM,575000,2000,1000000,"188cm / 6'2""",80kg / 176lbs,Left,66,282,50,60,58+1,63,51+2,275,56,48,51,60,60,308,68,73,54,58,55,350,63,72,91,75,49,300,66,61,57,62,54,63,183,62,62,59,57,9,8,15,13,12,1755,382,1,71,58,58,57,61
Sergio Camello ST,22,"Rayo Vallecano
2023 ~ 2027",248805,CAM,12.5,18000,28.8,"177cm / 5'10""",69kg / 152lbs,Right,78,343,48,77,72,75,71,341,78,68,58,58,79,360,69,71,68,80,72,345,75,72,66,56,76,283,42,23,79,76,63,75,64,33,18,13,56,13,8,13,11,11,1792,374,1,70,76,66,77,28
Mateu Morey RB RM,23,"Borussia Dortmund
2019 ~ 2024",248820,RWB,2.8,19000,5.3,"173cm / 5'8""",67kg / 148lbs,Right,72,275,71,49,41,75,39,317,75,63,40,64,75,379,77,66,80,72,84,240,51,56,49,52,32,309,75,75,62,59,38,63,211,69,69,73,38,6,13,7,7,5,1769,383,1,71,46,67,75,68
José Gragera CDM CM CB,23,"Espanyol
2023 ~ 2028",250997,CB,4.9,7000,8.8,"187cm / 6'2""",81kg / 179lbs,Right,75,283,61,45,72,68,37,313,63,63,58,62,67,305,62,56,66,74,47,341,58,80,72,78,53,317,68,75,47,70,57,69,220,74,75,71,45,10,11,10,8,6,1824,388,1,59,50,65,65,74
T. Coulibaly LM RM CF,22,"Montpellier
2023 ~ 2026",251401,LM,3.2,11000,7000000,"179cm / 5'10""",78kg / 172lbs,Left,71,296,66,68,38,65,59,311,79,68,41,47,76,377,81,77,85,50,84,282,61,62,63,60,36,295,63,38,66,66,62,56,127,48,42,37,45,8,12,5,6,14,1733,379,1,79,59,62,76,42
I. Van der Brempt RB CB,21,"Hamburger SV
Jun 30, 2024 On loan",251464,RM,3.4,7000,0,"187cm / 6'2""",76kg / 168lbs,Right,72,273,68,60,52,67,26,297,72,52,38,64,71,358,80,83,69,65,61,324,60,75,70,74,45,313,73,63,68,66,43,59,197,66,67,64,52,5,14,10,9,14,1814,408,1,82,55,64,70,64
Z. Sanusi LB,26,"Porto
2020 ~ 2027",251528,LB,6000000,12000,12.5,"182cm / 6'0""",71kg / 157lbs,Left,75,250,66,29,59,64,32,258,60,47,29,60,62,397,92,93,74,69,69,318,56,86,79,68,29,283,68,77,62,34,42,63,219,75,73,71,47,13,9,7,9,9,1772,393,1,93,37,55,63,73
David Carmo CB,23,"Porto
2022 ~ 2027",251616,CB,7000000,10000,14.5,"196cm / 6'5""",89kg / 196lbs,Left,77,224,31,23,74,68,28,231,45,33,25,68,60,235,48,50,35,70,32,294,43,73,63,92,23,267,78,76,22,53,38,70,226,76,77,73,55,10,7,9,14,15,1532,338,1,49,28,54,50,76
R. Nteka ST CAM,25,"Rayo Vallecano
2021 ~ 2026",251756,ST,2.5,13000,5.4,"189cm / 6'2""",75kg / 165lbs,Left,73,329,56,69,71,69,64,314,70,57,51,65,71,368,74,71,77,68,78,397,74,89,78,88,68,352,77,63,72,67,73,66,150,41,55,54,51,5,6,14,11,15,1961,414,1,72,70,64,71,54
J. Cabal LB CB,22,"Hellas Verona
2022 ~ 2027",251870,CB,2.5,13000,4.7,"186cm / 6'1""",80kg / 176lbs,Left,72,269,64,37,73,65,30,292,63,61,39,62,67,344,72,76,68,66,62,303,42,83,68,75,35,262,55,68,46,49,44,51,213,68,73,72,38,10,7,8,6,7,1721,376,1,74,38,60,64,70
K. Piątkowski CB,23,"Granada
Jun 30, 2024 On loan",252018,CB,4.2,12000,0,"191cm / 6'3""",87kg / 192lbs,Right,75,272,65,41,70,71,25,299,67,58,34,70,70,375,81,80,74,68,72,369,68,88,82,84,47,296,70,73,59,58,36,68,212,70,72,70,62,13,15,10,12,12,1885,413,1,80,47,65,69,71
A. Ueda ST CAM,24,"Feyenoord
2023 ~ 2028",252162,ST,4.7,13000,6.9,"182cm / 6'0""",76kg / 168lbs,Right,75,328,47,78,72,58,73,302,64,63,64,43,68,375,79,80,76,76,64,374,73,90,73,70,68,296,58,23,77,62,76,79,66,22,22,22,54,7,12,14,15,6,1795,374,1,80,75,55,68,27
A. Soñora CM CAM RM,24,"Huracán
2023 ~ 2024",252240,CAM,2.4,8000,3.8,"171cm / 5'7""",65kg / 143lbs,Left,74,320,73,58,48,73,68,372,73,79,73,72,75,376,77,68,80,69,82,347,73,66,72,64,72,340,67,71,70,72,60,75,180,60,60,60,49,8,5,9,13,14,1984,413,1,72,65,73,75,61
H. Ekdal CB,24,"Burnley
2023 ~ 2027",252316,CB,3.2,25000,6.6,"188cm / 6'2""",76kg / 168lbs,Right,74,233,29,30,71,67,36,240,59,28,26,63,64,320,62,66,68,69,55,296,43,80,66,79,28,264,74,70,37,55,28,72,216,72,73,71,47,5,12,12,6,12,1616,358,1,64,33,52,62,72
R. Zerrouki CDM CM,25,"Feyenoord
2023 ~ 2027",252383,CM,6.5,14000,9.6,"183cm / 6'0""",72kg / 159lbs,Right,77,307,59,58,52,80,58,359,74,64,67,79,75,350,70,66,73,69,72,383,76,72,82-3,79,74,350,82,71,68,72,57,74,206,70,68,68,49,6,11,14,12,6,2004,428,1,68,65,73,74,68
Fer Niño ST,22,"Burgos
2023 ~ 2026",252590,ST,3.3,5000,5.9,"190cm / 6'3""",78kg / 172lbs,Right,72,326,52,70,70,66,68,294,67,54,51,53,69,330,65,67,68,69,61,363,74,75,70,74,70,276,52,31,73,55,65,65,89,30,31,28,51,11,10,8,8,14,1729,365,1,66,71,58,67,34
Iker Losada RM LM CAM,21,"Racing Ferrol
2023 ~ 2024",252865,CAM,5.5,5000,9.6,"175cm / 5'9""",70kg / 154lbs,Right,74,343,73,75,57,73,65,367,73,71,75,74,74,342,70,69,57,72,74,324,72,65,56,58,73,297,44,46,69,70,68,59,74,43,15,16,47,8,10,7,12,10,1794,375,1,69,73,73,71,34
S. Appelkamp CAM LM CM,22,"Fortuna Düsseldorf
2019 ~ 2026",252903,CAM,5.5,16000,9.9,"175cm / 5'9""",70kg / 154lbs,Right,74,293,64,68,34,75,52,329,77,61,47,69,75,380,79,55,90,71,85,259,50,47,64,39,59,260,36,39,65,74,46,69,112,40,35,37,52,10,9,11,12,10,1685,356,1,66,61,70,77,37
K. Álvarez RB,24,"Mexico
Free",253008,RB,0,0,0,"176cm / 5'9""",66kg / 146lbs,Right,75,299,71,48,60,75,45,306,67,58,41,71,69,388,82,83,78,68,77,314,55,76,80,64,39,318,68,71,66,53,60,70,212,65,75,72,50,15,11,7,11,6,1887,406,1,83,49,67,69,69
Robert Navarro LM CM,21,"Cádiz
Jun 30, 2024 On loan",253130,CAM,5.5,16000,0,"178cm / 5'10""",69kg / 152lbs,Right,73,318,67,73,49,70,59,334,73,63,61,63,74,371,77,71,78,71,74,322,62,66,67,63,64,307,57,40,68,71,71,68,96,24,34,38,61,11,9,12,15,14,1809,381,1,74,68,68,74,34
H. Boudaoui CM CDM,23,"Nice
2019 ~ 2027",253157,CM,10000000,33000,19.8,"175cm / 5'9""",61kg / 134lbs,Right,78,337,68,68,73,77,51,364,77,77,58,74,78,382,74,75,79,77,77,363,65,79,86,69,64,347,75,72,73,73,54,73,223,72,76,75,41,7,6,7,13,8,2057,439,1,75,65,73,77,74
G. Simeone ST,20,"Deportivo Alavés
Jun 30, 2024 On loan",253396,ST,5000000,26000,0,"173cm / 5'8""",70kg / 154lbs,Right,74,326,60,74,69,65,58,279,68,53,46,42,70,398,83,82,79,72,82,378,68,87,78,81,64,298,75,25,74,62,62,59,62,18,20,24,55,8,14,7,14,12,1796,384,1,82,69,58,70,26
A. Pinamonti ST,24,"Sassuolo
2022 ~ 2027",235842,ST,6000000,15000,10.7,"188cm / 6'2""",72kg / 159lbs,Right,76,337,48,76,75,64,74,306,70,65,54,42,75,364,74,74,69,73,74,392,79,84,81,75,73,270,55,16,76,45,78,62,69,15,30,24,57,14,10,15,7,11,1795,374,1,74,76,53,71,27
Fran Beltrán CDM CM,24,"Celta de Vigo
2018 ~ 2026",235997,CDM,18.5,20000,40.2,"165cm / 5'5""",64kg / 141lbs,Right,79,323,72,53,60,83,55,340,74,54,55,81,76,346,61,56,77,74,78,317,61,66,67,63,60,335,70,75,63,78,49,66,238,77,80,81,55,14,11,8,13,9,1954,408,1,58,56,77,75,76
Y. Valery RB CB,24,"Angers SCO
2022 ~ 2026",236316,CB,2.4,5000,4.5,"185cm / 6'1""",85kg / 187lbs,Right,72,278,67,42,68,67,34,293,68,55,41,63,66,335,68,64,65,71,67,342,67,73,69,70,63,302,73,70,59,59,41,69,209,69,72,68,58,12,14,7,11,14,1817,389,1,66,52,63,67,70
T. O'Connor CB CDM CM,24,"Wrexham
2022 ~ 2025",236319,CB,575000,3000,1000000,"186cm / 6'1""",77kg / 170lbs,Left,65,283,62,52,61,62,46,305,59,65,58,63,60,318,64,68,57,61,68,353,64,78,74,70,67,301,71,60,57,59,54,56,178,59,61,58,44,8,8,12,9,7,1782,377,1,66,57,62,60,60
B. Varga ST,29,"Ferencváros
2023 ~ 2026",236510,ST,5.5,1000,12.1,"178cm / 5'10""",74kg / 163lbs,Right,75,327,41+9,81,79,59,67,300,68+2,51,53,56+10,72,358,68,72,70,79,69,367,74,82,70,71,70,295,64+5,15,80+1,63+5,73,65,39,11,15+3,13+2,54,15,11,7,12,9,1740,361,1,70,76,55,70,20
A. Caci LWB RWB CB,26,"FSV Mainz 05
2022 ~ 2026",236636,CB,4.8,22000,8.5,"185cm / 6'1""",76kg / 168lbs,Right,75,322,73,57,73,72,47,335,69,72,48,73,73,342,67,69,68,73,65,331,59,79,77,74,42,322,68,74,65,63,52,68,216,73,72,71,47,11,9,12,7,8,1915,408,2,68,54,69,70,73
E. Balcombe GK,23,"Brentford
2016 ~ 2027",236663,GK,625000,5000,1.3,"190cm / 6'3""",92kg / 203lbs,Right,61,68,10,10,12,19,17,79,10,12,13,29,15,238,39,39,45,54,61,209,46,58,28,64,13,122,28,18,10,50,16,24,48,25,10,13,304,61,59,61,59,64,1068,343,1,61,59,61,64,39
M. Terrier LM ST,26,"Rennes
2020 ~ 2025",236786,LM,23000000,54000,43.7,"184cm / 6'0""",78kg / 172lbs,Right,80,389,73,84,75,78,79,369,80,77,58,72,82,383,81,83,72,76,71,395,79,86,75,75,80,315,57,27,81,77,73,79,99,34,31,34,43,12,5,13,5,8,1993,425,2,82,81,75,79,36
Z. Youssouf CM CDM RM,23,"Famalicão
2022 ~ 2026",236830,CM,8.5,9000,18.5,"182cm / 6'0""",77kg / 170lbs,Left,77,306,62,57,54,78,55,371,81,69,68,75,78,347,64,67,72,71,73,369,73,71,78,80,67,359,77,72,74,74,62,74,206,72,70,64,55,13,9,10,12,11,2013,427,1,66,63,73,78,69
M. Rojas RW RM LM,27,"Inter Miami
2024 ~ 2024",237183,CF,6000000,10000,8.4,"186cm / 6'1""",72kg / 159lbs,Left,76,344,72,71,59,74,68,401,79,89,82,71,80,358,73,78,75,71,61,355,88,67,63,58,79,329,51,51,74,74,79,76,168,52,65,51,45,8,6,12,8,11,2000,417,1,76,76,74,77,56
J. Davies CM,24,"Wrexham
2020 ~ 2025",237185,CAM,425000,3000,776000,"178cm / 5'10""",74kg / 163lbs,Left,64,271,58,58,45,62,48,312,60,62,68,60,62,368,74,73,79,59,83,308,64,55,74,50,65,291,61,54,58,61,57,56,158,53,54,51,53,12,12,13,10,6,1761,368,1,73,60,61,63,53
K. Denkey ST,22,"Cercle Brugge
2021 ~ 2026",237254,ST,7000000,13000,11.9,"181cm / 5'11""",81kg / 179lbs,Right,76,313,37,80,70,58,68,314,74,61,66,41,72,345,73,76,60,70,66,397,81,84,78,86,68,294,68,18,74,66,68,75,72,33,22,17,46,5,14,13,7,7,1781,384,1,75,76,53,71,29
A. Connolly ST,23,"Hull City
2023 ~ 2024",237286,ST,2.5,10000,5.3,"175cm / 5'9""",73kg / 161lbs,Right,72,322,54,70,65,65,68,291,69,62,43,45,72,375,77,74,78,68,78,342,73,74,67,61,67,280,68,21,73,58,60,63,68,25,23,20,57,12,8,12,13,12,1735,365,1,75,70,57,71,27
M. Berisha ST CF,25,"TSG Hoffenheim
2023 ~ 2027",237321,ST,19000000,38000,33.7,"188cm / 6'2""",84kg / 185lbs,Right,80,373,69,80,72,75,77,375,75,80,77,65,78,360,74,73,69,78,66,392,83,83,75,76,75,329,67,32,81,73,76,75,96,38,32,26,38,10,5,10,7,6,1963,410,2,73,79,72,75,37
N. Tella RM LM,23,"Bayer 04 Leverkusen
2023 ~ 2028",237328,RM,9000000,36000,17.1,"173cm / 5'8""",70kg / 154lbs,Right,76,330,70,74,58,71,57,317,77,64,39,60,77,409,90,87,84,65,83,324,72,71,69,52,60,273,54,25,72,70,52,70,91,30,34,27,41,9,6,8,12,6,1785,392,1,88,69,67,77,33
J. Willock CM,23,"Newcastle United
2021 ~ 2027",237329,CAM,21000000,81000,41.5,"186cm / 6'1""",71kg / 157lbs,Right,81,355,66,74,70,79,66,352,84,68,46,74,80,390,77,84,79,78,72,367,75,77,81,66,68,368,70,77,79,80,62,78,207,70,75,62,46,11,6,12,8,9,2085,451,1,81,72,74,81,72
I. Konaté CB,24,"Liverpool
2021 ~ 2026",237678,CB,47000000,105000,90.5,"194cm / 6'4""",95kg / 209lbs,Right,85,252,38,29,81,76,28,272,69,32,27,70,74,354,73,85,63,81,52,322,45,85,71,90,31,300,83,82,37,57,41,78,248,82,85,81,49,9,7,9,9,15,1797,410,2,80,34,59,70,83
P. Cutrone ST,25,"Como
2022 ~ 2025",237715,ST,3000000,4000,5000000,"183cm / 6'0""",79kg / 174lbs,Right,74,331,48,74,72,66,71,296,72,63,42,44,75,350,69,74,63,70,74,350,72,79,64,72,63,275,62,14,75,56,68,72,74,36,20,18,39,10,7,7,10,5,1715,368,1,72,71,56,72,29
N. Domínguez CDM CM,25,"Nottingham Forest
2023 ~ 2028",237819,CDM,14000000,52000,27.7,"179cm / 5'10""",73kg / 161lbs,Right,78,324,60,65,68,80,51,323,74,49,45,77,78,384,74,75,82,73,80,372,72,75,89,67,69,347,86,73,63,74,51,60,221,66,78,77,41,6,11,9,10,5,2012,437,1,75,66,71,76,72
J. Holsgrove CM CAM CDM,23,"Estoril
2023 ~ 2024",237871,CM,2.3,5000,5000000,"180cm / 5'11""",73kg / 161lbs,Left,72,294,58,56,54,76,50,357,70,70,68,74,75,346,71,67,67,66,75,324,58,67,70,65,64,289,55,55,62,68,49,62,172,58,62,52,62,9,9,15,14,15,1844,390,1,69,58,70,71,58
Mama Baldé ST LM,27,"Olympique Lyonnais
Jun 30, 2024 On loan",237960,ST,3.3,8000,0,"176cm / 5'9""",69kg / 152lbs,Right,73,346,68,71,73,67,67,322,72,73,49,59,69,397,83,87,80,72,75,385,77,89,76,76,67,324,73,47,72,65,67,66,141,41,52,48,50,6,12,13,13,6,1965,418,1,85,71,65,72,49
A. Sigurðsson LM,24,"Blackburn Rovers
2024 ~ 2025",238196,CAM,2.2,20000,4.3,"177cm / 5'10""",75kg / 165lbs,Right,71,310,67,70,39,68,66,322,71,62,56,62,71,370,76,76,80,64,74,322,70,58,69,57,68,287,48,42,69,68,60,66,116,45,39,32,43,8,7,10,7,11,1770,381,1,76,69,66,71,41
H. Vetlesen CDM CM,23,"Club Brugge
2023 ~ 2027",238235,CAM,4.4,14000,7.5,"174cm / 5'9""",72kg / 159lbs,Right,76,331,67,69,60,75,60,349,76,68,58,71,76,408,86,77,92,69,84,358,67,76,86,60,69,337,67,70,71,72,57,69,211,70,71,70,53,13,9,11,14,6,2047,435,1,81,68,71,77,69
A. Haidara CM CDM,25,"RB Leipzig
2019 ~ 2026",238463,CM,27.5,56000,48.8,"175cm / 5'9""",72kg / 159lbs,Right,82,342,76,69,51,83,63,380,81,76,62,80,81,363,74,55,78,78,78,369,77,67,82,65,78,366,71,80,74,79,62,77,216,74,73,69,43,7,11,8,7,10,2079,438,2,64,72,79,80,72
D. Zagadou CB,24,"VfB Stuttgart
2022 ~ 2026",238476,CB,12000000,21000,21.3,"196cm / 6'5""",90kg / 198lbs,Left,79,255,46,26,86,72,25,235,51,37,25,70,52,253,48,67,33,71,34,333,66,80,69,93,25,269,75,74,31,59,30,70,224,74,80,70,55,9,13,5,14,14,1624,363,2,58,34,60,51,77
R. Schallenberg CDM CB,24,"Schalke 04
2023 ~ 2026",239099,CDM,2000000,6000,3.4,"185cm / 6'1""",75kg / 165lbs,Right,71,284,46,48,66,68,56,271,60,42,39,62,68,313,62,55,61,70,65,330,53,70,90,68,49,302,75,71,58,63,35,67,202,69,69,64,54,8,7,10,14,15,1756,374,1,58,49,59,64,69
A. Matusiwa CDM CM,25,"Rennes
2024 ~ 2028",239356,CDM,9000000,36000,17.8,"173cm / 5'8""",72kg / 159lbs,Right,77,262,48,38,59,75+2,42,304,66,54,41,72+2,71+1,330,60,43,74,75,78,349,65+5,71,83,76,54,339,84,78,61+3,66+1,50,72,223,75,76,72,51,6,9,13,11,12,1858,388,2,51,49,65,70,74
P. Köhn GK,25,"Monaco
2023 ~ 2028",239364,GK,6000000,29000,11.9,"190cm / 6'3""",80kg / 176lbs,Right,75,72,11,8,12,35,6,105,23,10,14,30,28,245,48,43,56,72,26,213,51,64,28,63,7,117,28,12,7,54,16,32,39,12,13,14,367,76,73,68,74,76,1158,413,1,76,73,68,76,46
R. Hack LM ST,24,"Borussia Mönchengladbach
2023 ~ 2027",239367,RM,7.5,22000,13.3,"178cm / 5'10""",72kg / 159lbs,Right,76,337,68,76,49,73,71,355,77,68,73,62,75,407,84,78,87,72,86,318,74,60,76,45,63,263,38,29,70,68,58,68,93,33,31,29,45,8,9,9,10,9,1818,384,1,81,72,69,77,33
D. McNamara RB RWB LB,24,"Millwall
2017 ~ 2025",239443,RWB,2.1,13000,4.1,"174cm / 5'9""",72kg / 159lbs,Right,71,259,66,39,57,66,31,276,65,49,40,56,66,380,79,78,77,68,78,303,50,73,78,65,37,286,66,66,58,55,41,64,199,66,68,65,52,14,6,6,11,15,1755,381,1,78,41,60,67,66
Galeno LM,25,"Porto
2022 ~ 2026",239482,RW,17000000,15000,35.3,"179cm / 5'10""",62kg / 137lbs,Right,79,322,68,79,41,69,65,366,83,78,70,55,80,419,91,93,84,78,73,366,75,69,81,67,74,304,52,45,79,69,59,85,102,34,39,29,58,13,6,13,11,15,1937,423,1,92,76,67,82,38
J. Moder CM CDM CAM,24,"Brighton & Hove Albion
2020 ~ 2025",239778,CAM,4.6,47000,9.1,"188cm / 6'2""",78kg / 172lbs,Right,75,326,70,66,60,77,53,361,72,70,71,73,75,328,62,66,65,74,61,366,82,71,65,74,74,351,70,69,71,74,67,74,206,68,73,65,62,15,14,14,13,6,2000,420,1,64,70,74,72,69
N. Raskin CM CDM,22,"Rangers
2023 ~ 2028",239810,CM,9000000,40000,18000000,"178cm / 5'10""",74kg / 163lbs,Right,77,327,66,58,66,79,58,359,71,69,67,76,76,383,74,67,79,80,83,365,71,75,84,68,67,344,82,71,62,71,58,79,216,70,76,70,59,14,14,13,11,7,2053,428,1,70,63,73,75,72
M. Antonucci CAM ST CM,24,"Cosenza
Jun 30, 2024 On loan",239838,CAM,1.8,2000,0,"178cm / 5'10""",72kg / 159lbs,Right,70,326,67,66,61,64,68,337,69,73,65,59,71,371,79,73,81,64,74,340,72,74,67,60,67,284,49,35,68,67,65,67,115,44,38,33,44,7,9,13,6,9,1817,381,1,76,68,65,71,41
R. Kouamé CM CDM,26,"Cádiz
2023 ~ 2026",239894,CDM,3.3,23000,6.9,"177cm / 5'10""",68kg / 150lbs,Left,74,289,62,49,65,75,38,315,72,54,43,72,74,357,69,67,74,75,72,372,67,77,89,76,63,343,75,72,68,72,56,73,210,71,70,69,42,8,6,6,11,11,1928,415,1,68,56,69,73,70
M. Boadu ST,22,"FC Twente
Jun 30, 2024 On loan",239956,ST,4.9,34000,0,"181cm / 5'11""",67kg / 148lbs,Right,75,330,52,75,63,68,72,321,73,62,59,54,73,397,82,85,84,72,74,358,77,78,69,67,67,278,47,23,76,66,66,73,69,29,22,18,55,9,15,14,6,11,1808,385,1,84,73,62,74,28
A. Papadopoulos CB CDM,23,"Borussia Dortmund
2021 ~ 2024",240008,CB,1.4,10000,2.5,"185cm / 6'1""",83kg / 183lbs,Right,69,193,28,22,55,59,29,208,53,23,30,44,58,321,63,66,64,64,64,314,41,82,76,82,33,270,82,64,37,52,35,59,194,65,66,63,49,8,11,7,13,10,1549,343,1,65,30,46,57,64
F. Downes CDM CM,24,"Southampton
Jun 30, 2024 On loan",240097,CDM,3.1,32000,0,"173cm / 5'8""",70kg / 154lbs,Right,73,281,61,52,59+1,77+2,32,314,68+1,51+2,55,70,70+1,351,68-2,62,77,66+2,78+1,330,59,69,77+1,70+1,55,317,76,67+2,56,70,48,74+1,207,68,71+1,68+1,56,13,12,14,11,6,1856,398,1,65,53,69,70,68
L. Zidane GK,25,"SD Eibar
2022 ~ 2024",240311,GK,1.9,5000,3.2,"183cm / 6'0""",78kg / 172lbs,Right,70,78,12,8,12,40,6,79,12,14,11,20,22,233,29,50,40,65,49,193,50,50,38,50,5,106,16,14,5,52,19,33,37,13,11,13,346,72,67,66,71,70,1072,383,1,72,67,66,70,37
O. Alderete CB,26,"Getafe
2023 ~ 2028",240359,CB,12000000,26000,26.1,"188cm / 6'2""",77kg / 170lbs,Left,79,300,56,54,79,64,47,295,70,52,41,64,68,329,63,63,70,73,60,368,69,85,71,81,62,313,78,79,62,49,45,68,234,80,79,75,62,7,13,14,13,15,1901,405,1,63,58,58,69,79
R. Porteous CB,24,"Watford
2023 ~ 2027",240439,CB,2.1,15000,4.1,"188cm / 6'2""",75kg / 165lbs,Right,72,269,57,34,70,65,43,291,60,54,45,70,62,315,63,75,47,62,68,328,68,78,74,80,28,321,84,68,54,64,51,61,205,67,69,69,49,7,7,10,13,12,1778,381,1,70,42,62,60,68
J. Champness LW LM,26,"New Zealand
Free",240633,LW,0,0,0,"189cm / 6'2""",80kg / 176lbs,Right,65,278,60,62,39,58,59,275,74,54,39,45,63,351,83,82,69,53,64,311,64,67,51,71,58,235,36,19,61,61,58,56,69,20,25,24,41,11,9,6,7,8,1560,350,1,82,61,56,68,24
M. Merentiel ST,27,"Boca Juniors
2024 ~ 2026",240663,ST,8000000,21000,12000000,"175cm / 5'9""",70kg / 154lbs,Right,76,316,26,79,71,73,67,302,73,46,59,51,73,380,77,77,72,77,77,381,75,78,81,78,69,295,68,20,79,64,64,75,100,44,34,22,47,8,14,11,9,5,1821,395,1,77,75,56,73,37
V. Kušej LW ST CF,23,"Czechia
Free",241186,ST,0,0,0,"168cm / 5'6""",69kg / 152lbs,Left,66,293,56,69,57,54,57,283,64,61,55,35,68,370,77,70,83,58,82,295,66,58,70,41,60,245,34,21,73,54,63,65,58,24,18,16,56,11,15,6,13,11,1600,331,1,73,66,52,68,24
T. Weah RM RWB RB,23,"Juventus
2023 ~ 2028",241496,RM,6.5,60000,11.5,"182cm / 6'0""",66kg / 146lbs,Right,75,346,67,70,67,71,71,329,75,64,53,63,74,402,84,86,86,72,74,365,73,80,74,69,69,326,64,64,69,69,60,70,185,61,64,60,57,7,9,12,15,14,2010,430,2,85,70,67,75,63
